SITE_1	  5.50	 09072018
SITE_2	  5.51	 09072018
SITE_3	  5.64	 09072018
SITE_1	  5.60	 11062018
SITE_2	  5.61	 11062018
SITE_3	  5.49	 11062018
SITE_1	  5.55	 01082019
SITE_2	  5.60	 01082019
SITE_3	  5.44	 01082019
SITE_1	  5.40	 03012019
SITE_2	  5.31	 03012019
SITE_3	  5.35	 03012019
SITE_1	  5.78	 05112019
SITE_2	  5.71	 05112019
SITE_3	  5.48	 05112019
SITE_1	  5.60	 07032019
SITE_2	  5.71	 07032019
SITE_3	  5.35	 07032019
SITE_1	  5.60	 09082019
SITE_2	  5.61	 09082019
SITE_3	  5.45	 09082019
SITE_1	  5.52	 11062019
SITE_2	  5.55	 11062019
SITE_3	  5.44	 11062019
SITE_1	  5.65	 01042020
SITE_2	  5.70	 01042020
SITE_3	  5.44	 01042020
SITE_1	  5.80	 03092020
SITE_2	  5.81	 03092020
SITE_3	  5.85	 03092020
SITE_1	  5.80	 05022020
SITE_2	  5.61	 05022020
SITE_3	  5.45	 05022020
SITE_1	  5.00	 07082020
SITE_2	  5.01	 07082020
SITE_3	  5.03	 07082020
SITE_1	  5.10	 09022020
SITE_2	  5.11	 09022020
SITE_3	  5.15	 09022020
